"Employer","CEO","CEO_Compensation","Median_Worker_Comp","Ratio","Company_Rating","CEO_Compensation_($000)"
"ConAgra Foods","Gary Rodkin",9130934,73579,124,3,913.0934
"Intuitive Surgical","Gary S. Guthart, Ph.D.",2617963,125073,21,3.8,261.7963
"Biogen Idec","George A. Scangos",18631369,118325,157,3.7,1863.1369
"Express Scripts","George Paz",12921006,66398,195,2.4,1292.1006
"Tyco","George R. Oliver",8998307,77724,116,2.7,899.8307
"Cardinal Health","George S. Barrett",12448618,67360,185,3.4,1244.8618
"BNY Mellon","Gerald L. Hassell",11659528,56500,206,2.8,1165.9528
"DTE Energy","Gerard M. Anderson",12604355,80103,157,3.9,1260.4355
"CenturyLink","Glen F. Post, III",13131448,74615,176,2.9,1313.1448
"Progressive Insurance","Glenn M. Renwick",9841581,51934,190,3.6,984.1581
"Gap","Glenn Murphy",16064312,22800,705,3.6,1606.4312
"Phillips 66","Greg C. Garland",24508433,92065,266,3.8,2450.8433
"Tractor Supply","Gregory A. Sandfort",4695342,36000,130,3.1,469.5342
"Aon","Gregory C. Case",13991640,70127,200,3.4,1399.164
"Walgreens","Gregory D. Wasson",16732555,30980,540,2.9,1673.2555
"Franklin Templeton Investments","Gregory Eugene Johnson, CPA",15904296,70449,226,3.8,1590.4296
"Tesoro Corporation","Gregory J. Goff",20855549,79015,264,3.5,2085.5549
"O'Reilly Auto Parts","Gregory L. Henslee",4465436,29247,153,3.2,446.5436
"Motorola Solutions","Gregory Q. Brown",7969131,108558,73,3.2,796.9131
"Danaher","H. Lawrence Culp, Jr.",13704222,86898,158,2.9,1370.4222
"Prologis","Hamid R. Moghadam",16514721,75244,219,3.7,1651.4721
"Robert Half","Harold M. Messmer, Jr.",8292876,56788,146,3.2,829.2876
"Zions Bancorporation","Harris H. Simmons",2500822,68400,37,3.5,250.0822
"Hess Corporation","Hess, John B.",22459530,75883,296,3.6,2245.953
"Western Union","Hikmet Ersek",8241800,102595,80,3.1,824.18
"Avago Technologies","Hock E. Tan",17202596,122285,141,2.5,1720.2596
"Starbucks","Howard D. Schultz",21466454,32080,669,3.8,2146.6454
"Best Buy","Hubert Joly",13881219,25160,552,3.4,1388.1219
"Monsanto Company","Hugh Grant",13436483,81680,165,3.8,1343.6483
"Pfizer","Ian C. Read",23283048,114526,203,3.7,2328.3048
"Colgate-Palmolive","Ian Cook",14531582,105472,138,3.8,1453.1582
"PepsiCo","Indra K. Nooyi",22485574,61876,363,3.5,2248.5574
"3M","Inge G. Thulin",20115589,84130,239,3.7,2011.5589
"Mondelez International","Irene Rosenfeld",21039946,49225,427,3.1,2103.9946
"Computer Sciences Corp","J. Michael Lawrie",13267195,87476,152,2.6,1326.7195
"GameStop","J. Paul Raines",8604576,24880,346,3.1,860.4576
"Chevron","J.S. Watson",25970417,110000,236,4.1,2597.0417
"Cameron","Jack B. Moore",10264287,75883,135,3.5,1026.4287
"Navient","Jack Remondi",6613724,62440,106,2.6,661.3724
"First Solar","James A. Hughes",3776136,102693,37,3.8,377.6136
"T. Rowe Price","James Aloysius Charles Kennedy, CFA",8902148,51765,172,3.5,890.2148
"American Tower","James D. Taiclet, Jr.",12704773,67879,187,3,1270.4773
"J.P. Morgan","James Dimon",27701709,65344,424,3.5,2770.1709
"Cablevision Systems","James L. Dolan",23702403,56155,422,3.3,2370.2403
"LyondellBasell","James L. Gallogly",13192990,113762,116,2.7,1319.299
"NextEra Energy, Inc.","James L. Robo",12183296,92554,132,3.1,1218.3296
"Ameriprise","James M. Cracchiolo",24455192,58902,415,3.4,2445.5192
"Red Hat","James M. Whitehurst",6692552,115693,58,4,669.2552
"Morgan Stanley","James P. Gorman",23270044,98232,237,3.6,2327.0044
"BorgWarner","James R. Verrier",10005230,70015,143,3.7,1000.523
"Mosaic Company (Minnesota)","James T. Prokopanko",14820237,70866,209,3.3,1482.0237
"W.W. Grainger","James T. Ryan",7711460,66365,116,3.4,771.146
"Travelers Companies","Jay S. Fishman",20435381,67360,303,3.5,2043.5381
"Level 3 Communications","Jeff K. Storey",10850861,96791,112,3.1,1085.0861
"Whirlpool","Jeff M. Fettig",17544567,86000,204,3.6,1754.4567
"Fiserv","Jeffery W.Yabuki",8275917,76575,108,2.9,827.5917
"Intercontinental Exchange","Jeffrey C. Sprecher",10621045,110000,97,2.7,1062.1045
"Time Warner","Jeffrey L. Bewkes",32903139,87916,374,3.6,3290.3139
"Hormel","Jeffrey M. Ettinger",9662613,69464,139,3.6,966.2613
"Vertex Pharmaceuticals","Jeffrey M. Leiden",36635468,123840,296,3.7,3663.5468
"Amazon.com","Jeffrey P. Bezos",1681840,114352,15,3.4,168.184
"GE","Jeffrey R. Immelt",37250774,89186,418,3.8,3725.0774
"Mohawk Industries","Jeffrey S. Lorberbaum",5005702,60074,83,3.2,500.5702
"Expeditors","Jeffrey S. Musser",5080036,55092,92,3.3,508.0036
"NVIDIA","Jen-Hsun Huang",6022630,127317,47,3.9,602.263
"Sealed Air Corporation","Jerome A. Peribere",11963159,81340,147,3.1,1196.3159
"Kellogg Company","John A. Bryant",9258243,66946,138,3.2,925.8243
"Eli Lilly","John C. Lechleiter, Ph.D.",14481142,104142,139,3.8,1448.1142
"Gilead Sciences","John C. Martin",18957994,119176,159,3,1895.7994
"Chubb Corp","John D. Finnegan",17841294,74805,239,3.8,1784.1294
"Michael Kors","John D. Idol",13559220,32000,424,3.4,1355.922
"Omnicom","John D. Wren",24014697,76493,314,3.9,2401.4697
"Stanley Black & Decker","John F. Lundgren",13137482,69714,188,3.2,1313.7482
"Coca-Cola Enterprises, Inc.","John Franklin Brock, III",11267498,49008,230,3.1,1126.7498
"Wells Fargo","John G. Stumpf",21426391,44265,484,3.3,2142.6391
"McKesson","John H. Hammergren",25919882,83491,310,3.2,2591.9882
"eBay","John J. Donahoe, II",14050057,132220,106,3.6,1405.0057
"Nucor","John J. Ferriola",8941639,70469,127,3.4,894.1639
"Union Pacific","John J. Koraleski",28144047,73351,384,3.5,2814.4047
"F5 Networks","John McAdam",8143742,138403,59,4.2,814.3742
"Con Edison","John McAvoy",9685688,97700,99,2.9,968.5688
"J.B. Hunt","John N. Roberts, III",4346470,52106,83,3.4,434.647
"People's United Bank","John P. Barnes",3698121,35000,106,2.9,369.8121
"The Hershey Company","John P. Bilbrey",17777401,55092,323,3.7,1777.7401
"Altera","John P. Daane",7248710,141035,51,3.4,724.871
"C.H. Robinson Worldwide","John P. Wiehoff",5029488,46634,108,3.1,502.9488
"Devon Energy","John Richels",21611030,82905,261,3.8,2161.103
"Prudential","John Robert Strangfeld",37483092,72771,515,3.5,3748.3092
"Cisco Systems","John T. Chambers",16488184,138861,119,3.7,1648.8184
"FMC Technologies","John T. Gremp",13892357,84149,165,3.2,1389.2357
"International Paper","John V. Faraci",16032223,67360,238,3.5,1603.2223
"Legg Mason","Joseph A. Sullivan",11548620,91734,126,3.6,1154.862
"Perrigo","Joseph C. Papa",18945540,61967,306,3.4,1894.554
